GO:0047529
GO:0008565
GO:0015254
GO:0017040
GO:0005534
GO:0003906
GO:0048307
GO:0008926
GO:0047462
GO:0004396
GO:0050421
GO:0002020
GO:0052856
GO:0008800
GO:0003989
GO:0001217
GO:0003690
GO:0033752
GO:0005355
GO:0016677
GO:0016208
GO:0043199
GO:0047985
GO:0004802
GO:0003896
GO:0016830
GO:0031071
GO:0052621
GO:0047943
GO:0004639
GO:0004747
GO:0046428
GO:0043142
GO:0015094
GO:0018457
GO:0008673
GO:0016855
GO:0032267
GO:0004130
GO:0008774
GO:0046526
GO:0004721
GO:0018506
GO:0008885
GO:0036094
GO:0102009
GO:0008705
GO:0106099
GO:0015423
GO:0036355
GO:0004055
GO:0032131
GO:0008745
GO:0050660
GO:0004672
GO:0015112
GO:0005516
GO:0008904
GO:0008138
GO:0015344
GO:0000310
GO:0000210
GO:0004109
GO:0008974
GO:0015426
GO:0047806
GO:0044183
GO:0036220
GO:0052858
GO:0061798
GO:0046564
GO:0004615
GO:0102162
GO:0016403
GO:0004854
GO:0010333
GO:0047595
GO:0005506
GO:0030337
GO:0015595
GO:0047429
GO:0047761
GO:0004477
GO:0046857
GO:0061503
GO:0042578
GO:0098519
GO:0102568
GO:0018455
GO:0070968
GO:0008907
GO:0043822
GO:0004823
GO:0048365
GO:0015288
GO:0008795
GO:0015623
GO:0016168
GO:0015293
GO:0003746
GO:0004411
GO:0016774
GO:0047862
GO:0004180
GO:0009384
GO:0004072
GO:0005215
GO:0042289
GO:0008980
GO:0004832
GO:0004156
GO:0047702
GO:0051537
GO:0070026
GO:0043140
GO:0004473
GO:0008710
GO:0004640
GO:0004739
GO:0003862
GO:1904047
GO:0003910
GO:0019003
GO:0016799
GO:0016651
GO:0030272
GO:0015420
GO:0008802
GO:0008902
GO:0015099
GO:0018467
GO:0043792
GO:0030983
GO:0140078
GO:0017136
GO:0016868
GO:0004129
GO:0047324
GO:0050020
GO:0052912
GO:0004359
GO:0016615
GO:0031420
GO:0008137
GO:0043022
GO:0004619
GO:0050262
GO:0015095
GO:0016410
GO:0009389
GO:0047330
GO:0004113
GO:0004497
GO:0019146
GO:0016491
GO:0004812
GO:0003908
GO:0047112
GO:0008869
GO:0008713
GO:0047348
GO:0031177
GO:0009486
GO:0016298
GO:0016841
GO:0004160
GO:0004328
GO:1901973
GO:0004821
GO:0034700
GO:0008725
GO:0050001
GO:0016620
GO:0070569
GO:0102921
GO:0005085
GO:0036054
GO:0097367
GO:0050301
GO:0015232
GO:0003842
GO:0004222
GO:0016436
GO:0016775
GO:0008690
GO:0008237
GO:0050319
GO:0018452
GO:0004065
GO:0103046
GO:0008833
GO:0043873
GO:0008198
GO:0008853
GO:0008409
GO:0102008
GO:0017091
GO:0008964
GO:0004066
GO:0019826
GO:0035439
GO:0036222
